,precision,recall,f1-score,support
0,0.5633360735371048,0.691179167430772,0.6207436076913575,10906.0
1,0.49116180691947425,0.35748845392566525,0.41379749252211545,9094.0
accuracy,0.53945,0.53945,0.53945,0.53945
macro avg,0.5272489402282895,0.5243338106782186,0.5172705501067365,20000.0
weighted avg,0.5305184345060682,0.53945,0.5266452091239031,20000.0
