,precision,recall,f1-score,support
Normal,0.5661532113877046,0.7549055565743628,0.6470449544168501,10906.0
Attack,0.5102601685599121,0.30624587640202333,0.3827652556349643,9094.0
accuracy,0.5509,0.5509,0.5509,0.5509
macro avg,0.5382066899738083,0.530575716488193,0.5149051050259071,20000.0
weighted avg,0.5407386448139073,0.5509,0.5268769753807266,20000.0
