,precision,recall,f1-score,support
0,0.5462773573327879,0.9795525398863011,0.7013984636596415,10906.0
1,0.49774774774774777,0.024301737409280846,0.046340951981547494,9094.0
accuracy,0.5452,0.5452,0.5452,0.5452
macro avg,0.5220125525402679,0.5019271386477909,0.37386970782059453,20000.0
weighted avg,0.5242109438544701,0.5452,0.4035438130996122,20000.0
