,precision,recall,f1-score,support
0,0.5636594484023418,0.7327159361819182,0.6371646134832356,10906.0
1,0.4993989352567405,0.3197712777655597,0.38989072869880004,9094.0
accuracy,0.54495,0.54495,0.54495,0.54495
macro avg,0.5315291918295412,0.526243606973739,0.5135276710910178,20000.0
weighted avg,0.534440193075037,0.54495,0.5247291780717527,20000.0
